title	authors	doi	journal	volume	issue	pages	X.	descriptors	oldfilename	newfilename	file.location	authors.fullnames	link.to.abstract	lookup.code
277	Is it better to be moral than smart? the effects of morality and competence norms on the decision to work at group status improvement.	N Ellemers, S Pagliaro, M Barreto, CW Leach	10.1037/a0012628	JPSP	95	6	1397-410		Cognition, Decision Making, Employment, Female, Humans, Intelligence, Male, Morals, Social Identification, Young Adult	2008.JPSP/psp 95-6/psp-95-6-1397.pdf	JPSP/JPSP-95-6-1397.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1397.pdf	Naomi Ellemers, Stefano Pagliaro, Manuela Barreto, Colin Wayne Leach	NA	JPSP-95-6-1397
278	Ethnocentrism and the value of a human life.	F Pratto, DE Glasford	10.1037/a0012636	JPSP	95	6	1411-28		Adolescent, Ethnic Groups, Female, Humans, Male, Social Identification, Social Values, Value of Life	2008.JPSP/psp 95-6/psp-95-6-1411.pdf	JPSP/JPSP-95-6-1411.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1411.pdf	Felicia Pratto, Demis E Glasford	NA	JPSP-95-6-1411
279	The responsive bystander: How social group membership and group size can encourage as well as inhibit bystander intervention.	M Levine, S Crowther	10.1037/a0012634	JPSP	95	6	1429-39		Adult, Female, Group Processes, Humans, Inhibition (Psychology), Male, Questionnaires, Social Behavior, Social Identification	2008.JPSP/psp 95-6/psp-95-6-1429.pdf	JPSP/JPSP-95-6-1429.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1429.pdf	Mark Levine, Simon Crowther	NA	JPSP-95-6-1429
280	My friend is embarrassing me: Exploring the guilty by association effect.	JL Fortune, IR Newby-Clark	10.1037/a0012627	JPSP	95	6	1440-9		Attitude, Female, Friends, Group Processes, Guilt, Humans, Judgment, Male, Sex Factors, Social Identification, Social Perception	2008.JPSP/psp 95-6/psp-95-6-1440.pdf	JPSP/JPSP-95-6-1440.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1440.pdf	Jennifer L Fortune, Ian R Newby-Clark	NA	JPSP-95-6-1440
281	Power reduces the press of the situation: Implications for creativity, conformity, and dissonance.	AD Galinsky, JC Magee, DH Gruenfeld, JA Whitson, KA Liljenquist	10.1037/a0012633	JPSP	95	6	1450-66		Adult, Creativeness, Female, Humans, Male, Power (Psychology), Questionnaires, Social Behavior, Social Conformity, Social Identification	2008.JPSP/psp 95-6/psp-95-6-1450.pdf	JPSP/JPSP-95-6-1450.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1450.pdf	Adam D Galinsky, Joe C Magee, Deborah H Gruenfeld, Jennifer A Whitson, Katie A Liljenquist	NA	JPSP-95-6-1450
282	Who cares what the outgroup thinks? testing an information search model of the importance individuals accord to an outgroup member's view of them during intergroup interaction.	JD Vorauer, Y Sakamoto	10.1037/a0012631	JPSP	95	6	1467-80		Female, Group Processes, Humans, Interpersonal Relations, Male, Questionnaires, Young Adult	2008.JPSP/psp 95-6/psp-95-6-1467.pdf	JPSP/JPSP-95-6-1467.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1467.pdf	Jacquie D Vorauer, Yumiko Sakamoto	NA	JPSP-95-6-1467
283	The generalization of attachment representations to new social situations: Predicting behavior during initial interactions with strangers.	BC Feeney, J Cassidy, F Ramos-Marcuse	10.1037/a0012635	JPSP	95	6	1481-98		Adolescent, Forecasting, Humans, Interpersonal Relations, Object Attachment, Social Environment, Videotape Recording	2008.JPSP/psp 95-6/psp-95-6-1481.pdf	JPSP/JPSP-95-6-1481.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1481.pdf	Brooke C Feeney, Jude Cassidy, Fatima Ramos-Marcuse	NA	JPSP-95-6-1481
284	Racing to help: Racial bias in high emergency helping situations.	JW Kunstman, EA Plant	10.1037/a0012822	JPSP	95	6	1499-510		Adolescent, Emergencies, Ethnic Groups, Female, Helping Behavior, Humans, Interpersonal Relations, Male, Prejudice, Young Adult	2008.JPSP/psp 95-6/psp-95-6-1499.pdf	JPSP/JPSP-95-6-1499.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1499.pdf	Jonathan W Kunstman, E Ashby Plant	NA	JPSP-95-6-1499
285	Retaliation as a response to procedural unfairness: A self-regulatory approach.	L Brebels, D De Cremer, C Sedikides	10.1037/a0012821	JPSP	95	6	1511-25		Attitude, Female, Humans, Male, Punishment, Social Behavior, Social Control, Informal, Social Justice, Young Adult	2008.JPSP/psp 95-6/psp-95-6-1511.pdf	JPSP/JPSP-95-6-1511.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1511.pdf	Lieven Brebels, David De Cremer, Constantine Sedikides	NA	JPSP-95-6-1511
286	Working memory capacity and the self-regulation of emotional expression and experience.	BJ Schmeichel, RN Volokhov, HA Demaree	10.1037/a0013345	JPSP	95	6	1526-40		Adolescent, Affect, Cognition, Expressed Emotion, Female, Humans, Male, Memory, Short-Term, Social Control, Informal, Young Adult	2008.JPSP/psp 95-6/psp-95-6-1526.pdf	JPSP/JPSP-95-6-1526.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1526.pdf	Brandon J Schmeichel, Rachael N Volokhov, Heath A Demaree	NA	JPSP-95-6-1526
287	Assertiveness expectancies: How hard people push depends on the consequences they predict.	DR Ames	10.1037/a0013334	JPSP	95	6	1541-57		Adult, Assertiveness, Competitive Behavior, Conflict (Psychology), Female, Forecasting, Humans, Interpersonal Relations, Male, Social Behavior	2008.JPSP/psp 95-6/psp-95-6-1541.pdf	JPSP/JPSP-95-6-1541.pdf	Reproducibility Papers/JPSP/JPSP-95-6-1541.pdf	Daniel R Ames	NA	JPSP-95-6-1541
288	Bright children become enlightened adults.	IJ Deary, GD Batty, CR Gale	10.1111/j.1467-9280.2008.02036.x	PS	19	1	|1/6/2012|		Adolescent, Adult, Child, Child Development, Cohort Studies, Educational Status, Female, Great Britain, Humans, Individuality, Intelligence, Male, Models, Psychological, Politics, Prejudice, Social Class, Social Justice, Social Values	2008.PsycScience/1 Jan/1.full.pdf	PS/PS-19-1-1.pdf	Reproducibility Papers/PS/PS-19-1-1.pdf	Ian J Deary, G David Batty, Catharine R Gale	NA	PS-19-1-1
289	Cultural influences on neural substrates of attentional control.	T Hedden, S Ketay, A Aron, HR Markus, JD Gabrieli	10.1111/j.1467-9280.2008.02038.x	PS	19	1	|12/17/2012|		Acculturation, Adolescent, Adult, Asian Americans [psychology], Attention [physiology], Brain [physiology], Cross-Cultural Comparison, Discrimination Learning [physiology], European Continental Ancestry Group [psychology], Female, Field Dependence-Independence, Frontal Lobe [physiology], Humans, Image Processing, Computer-Assisted, Imaging, Three-Dimensional, Judgment, Magnetic Resonance Imaging, Male, Orientation [physiology], Oxygen Consumption [physiology], Parietal Lobe [physiopathology], Pattern Recognition, Visual [physiology], Size Perception, Social Values	2008.PsycScience/1 Jan/12.full.pdf	PS/PS-19-1-12.pdf	Reproducibility Papers/PS/PS-19-1-12.pdf	Trey Hedden, Sarah Ketay, Arthur Aron, Hazel Rose Markus, John D E Gabrieli	NA	PS-19-1-12
290	The value heuristic in judgments of relative frequency.	X Dai, K Wertenbroch, CM Brendl	10.1111/j.1467-9280.2008.02039.x	PS	19	1	18-9		Adult, Attention, Concept Formation, Discrimination Learning, Female, Humans, Judgment, Male, Memory, Short-Term, Motivation, Pattern Recognition, Visual, Problem Solving	2008.PsycScience/1 Jan/18.full.pdf	PS/PS-19-1-18.pdf	Reproducibility Papers/PS/PS-19-1-18.pdf	Xianchi Dai, Klaus Wertenbroch, C Miguel Brendl	NA	PS-19-1-18
291	Loving those who justify inequality: The effects of system threat on attraction to women who embody benevolent sexist ideals.	GP Lau, AC Kay, SJ Spencer	10.1111/j.1467-9280.2008.02040.x	PS	19	1	20-1		Adolescent, Adult, Canada, Cross-Cultural Comparison, Culture, Humans, Male, Politics, Prejudice, Rationalization, Social Change, Social Desirability, Socioeconomic Factors, Stereotyping	2008.PsycScience/1 Jan/20.full.pdf	PS/PS-19-1-20.pdf	Reproducibility Papers/PS/PS-19-1-20.pdf	Grace P Lau, Aaron C Kay, Steven J Spencer	NA	PS-19-1-20
292	R2|Loving those who justify inequality: The effects of system threat on attraction to women who embody benevolent sexist ideals.	GP Lau, AC Kay, SJ Spencer	10.1111/j.1467-9280.2008.02040.x	PS	19	1	20-1		Adolescent, Adult, Canada, Cross-Cultural Comparison, Culture, Humans, Male, Politics, Prejudice, Rationalization, Social Change, Social Desirability, Socioeconomic Factors, Stereotyping	2008.PsycScience/1 Jan/20.full.pdf	PS/PS-19-1-20.pdf	Reproducibility Papers/PS/PS-19-1-20.pdf	Grace P Lau, Aaron C Kay, Steven J Spencer	NA	PS-19-1-20
293	Action dynamics reveal parallel competition in decision making.	C McKinstry, R Dale, MJ Spivey	10.1111/j.1467-9280.2008.02041.x	PS	19	1	22-4		Adolescent, Adult, Attention, Choice Behavior, Conflict (Psychology), Decision Making, Female, Humans, Male, Psychomotor Performance, Reaction Time, Set (Psychology), Thinking	2008.PsycScience/1 Jan/22.full.pdf	PS/PS-19-1-22.pdf	Reproducibility Papers/PS/PS-19-1-22.pdf	Chris McKinstry, Rick Dale, Michael J Spivey	NA	PS-19-1-22
294	Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.	T Goschke, G Dreisbach	10.1111/j.1467-9280.2008.02042.x	PS	19	1	25-32		Attention, Conflict (Psychology), Cues, Goals, Humans, Inhibition (Psychology), Intention, Memory, Short-Term, Orientation, Pattern Recognition, Visual, Psychomotor Performance, Reaction Time	2008.PsycScience/1 Jan/25.full.pdf	PS/PS-19-1-25.pdf	Reproducibility Papers/PS/PS-19-1-25.pdf	Thomas Goschke, Gesine Dreisbach	NA	PS-19-1-25
295	Age-related changes in the episodic simulation of future events.	DR Addis, AT Wong, DL Schacter	10.1111/j.1467-9280.2008.02043.x	PS	19	1	33-41		Adult, Aged, Aging [psychology], Female, Humans, Imagination, Life Change Events, Male, Mental Recall, Middle Aged, Neuropsychological Tests, Word Association Tests	2008.PsycScience/1 Jan/33.full.pdf	PS/PS-19-1-33.pdf	Reproducibility Papers/PS/PS-19-1-33.pdf	Donna Rose Addis, Alana T Wong, Daniel L Schacter	NA	PS-19-1-33
296	Sensitivity to object viewpoint and action instructions during search for targets in the lower visual field.	S Forti, GW Humphreys	10.1111/j.1467-9280.2008.02044.x	PS	19	1	42-8		Adolescent, Adult, Attention, Discrimination Learning, Eye Movements, Female, Fixation, Ocular, Humans, Male, Orientation, Probability, Psychomotor Performance, Reaction Time, Semantics, Visual Fields	2008.PsycScience/1 Jan/42.full.pdf	PS/PS-19-1-42.pdf	Reproducibility Papers/PS/PS-19-1-42.pdf	Sara Forti, Glyn W Humphreys	NA	PS-19-1-42
297	The value of believing in free will: Encouraging a belief in determinism increases cheating.	KD Vohs, JW Schooler	10.1111/j.1467-9280.2008.02045.x	PS	19	1	49-54		Culture, Deception, Female, Genetic Determinism, Humans, Internal-External Control, Male, Moral Development, Personal Autonomy, Persuasive Communication, Problem Solving, Social Environment	2008.PsycScience/1 Jan/49.full.pdf	PS/PS-19-1-49.pdf	Reproducibility Papers/PS/PS-19-1-49.pdf	Kathleen D Vohs, Jonathan W Schooler	NA	PS-19-1-49
298	Temporal selection is suppressed, delayed, and diffused during the attentional blink.	E Vul, M Nieuwenstein, N Kanwisher	10.1111/j.1467-9280.2008.02046.x	PS	19	1	55-61		Adolescent, Adult, Attentional Blink, Cues, Female, Humans, Inhibition (Psychology), Male, Pattern Recognition, Visual, Probability, Reaction Time, Serial Learning, Time Perception	2008.PsycScience/1 Jan/55.full.pdf	PS/PS-19-1-55.pdf	Reproducibility Papers/PS/PS-19-1-55.pdf	Edward Vul, Mark Nieuwenstein, Nancy Kanwisher	NA	PS-19-1-55
299	Association between polymorphisms in the dopamine transporter gene and depression: Evidence for a gene-environment interaction in a sample of juvenile detainees.	GJ Haeffel, M Getchell, RA Koposov, CM Yrigollen, CG Deyoung, BA Klinteberg, L Oreland, VV Ruchkin, EL Grigorenko	10.1111/j.1467-9280.2008.02047.x	PS	19	1	62-9		Adolescent, Chromosomes, Human, Pair 5 [genetics], Depressive Disorder [genetics], Dopamine Plasma Membrane Transport Proteins [genetics], Gene Expression [physiology], Genetic Predisposition to Disease [genetics], Humans, Juvenile Delinquency [psychology], Male, Mother-Child Relations, Odds Ratio, Polymorphism, Single Nucleotide [genetics], Prisoners [psychology], Rejection (Psychology), Risk Factors, Social Environment, Statistics as Topic	2008.PsycScience/1 Jan/62.full.pdf	PS/PS-19-1-62.pdf	Reproducibility Papers/PS/PS-19-1-62.pdf	Gerald J Haeffel, Marya Getchell, Roman A Koposov, Carolyn M Yrigollen, Colin G Deyoung, Britt Af Klinteberg, Lars Oreland, Vladislav V Ruchkin, Elena L Grigorenko	NA	PS-19-1-62
300	Implicit prejudice toward injecting drug users predicts intentions to change jobs among drug and alcohol nurses.	W von Hippel, L Brener, C von Hippel	10.1111/j.1467-9280.2008.02037.x	PS	19	1	|7/11/2012|		Adult, Alcoholism [nursing], Attitude of Health Personnel, Career Mobility, Empathy, Female, Humans, Intention, Job Satisfaction, Middle Aged, Models, Psychological, New South Wales, Nurses [psychology], Personality Inventory, Prejudice, Substance Abuse, Intravenous [nursing]	2008.PsycScience/1 Jan/7.full.pdf	PS/PS-19-1-7.pdf	Reproducibility Papers/PS/PS-19-1-7.pdf	William von Hippel, Loren Brener, Courtney von Hippel	NA	PS-19-1-7
301	Mr.grimace or ms.smile: Does categorization affect perceptual processing in autism?	A Santos, C Rondan, DB Rosset, D Da Fonseca, C Deruelle	10.1111/j.1467-9280.2008.02048.x	PS	19	1	70-6		Adolescent, Adult, Asperger Syndrome [diagnosis], Attention, Autistic Disorder [diagnosis], Discrimination Learning, Emotions, Facial Expression, Female, Humans, Male, Middle Aged, Pattern Recognition, Visual	2008.PsycScience/1 Jan/70.full.pdf	PS/PS-19-1-70.pdf	Reproducibility Papers/PS/PS-19-1-70.pdf	Andreia Santos, Cécilie Rondan, Delphine B Rosset, David Da Fonseca, Christine Deruelle	NA	PS-19-1-70
302	Extremal edges: A powerful cue to depth perception and figure-ground organization.	SE Palmer, T Ghose	10.1111/j.1467-9280.2008.02049.x	PS	19	1	77-84		Attention, Contrast Sensitivity, Depth Perception, Discrimination Learning, Field Dependence-Independence, Humans, Optical Illusions, Orientation, Pattern Recognition, Visual	2008.PsycScience/1 Jan/77.full.pdf	PS/PS-19-1-77.pdf	Reproducibility Papers/PS/PS-19-1-77.pdf	Stephen E Palmer, Tandra Ghose	NA	PS-19-1-77
303	Auditory change detection: Simple sounds are not memorized better than complex sounds.	L Demany, W Trost, M Serman, C Semal	10.1111/j.1467-9280.2008.02050.x	PS	19	1	85-91		Attention, Humans, Judgment, Mental Recall, Music, Pitch Perception, Psychoacoustics, Reaction Time, Sound Spectrography	2008.PsycScience/1 Jan/85.full.pdf	PS/PS-19-1-85.pdf	Reproducibility Papers/PS/PS-19-1-85.pdf	Laurent Demany, Wiebke Trost, Maja Serman, Catherine Semal	NA	PS-19-1-85
304	False memory 1/20th of a second later: What the early onset of boundary extension reveals about perception.	H Intraub, CA Dickinson	10.1111/j.1467-9280.2008.02192.x	PS	19	10	1007-14		Attention, Depth Perception, Discrimination Learning, Distance Perception, Fixation, Ocular, Humans, Mental Recall, Orientation, Pattern Recognition, Visual, Perceptual Masking, Reaction Time, Recognition (Psychology), Repression, Psychology, Retention (Psychology), Saccades, Students [psychology]	2008.PsycScience/10 October/1007.full.pdf	PS/PS-19-10-1007.pdf	Reproducibility Papers/PS/PS-19-10-1007.pdf	Helene Intraub, Christopher A Dickinson	NA	PS-19-10-1007
305	Feedback produces divergence from prospect theory in descriptive choice.	RK Jessup, AJ Bishara, JR Busemeyer	10.1111/j.1467-9280.2008.02193.x	PS	19	10	1015-22		Attention, Choice Behavior, Culture, Decision Making, Feedback, Psychological, Gambling [psychology], Humans, Motivation, Probability Learning, Problem-Based Learning, Risk-Taking	2008.PsycScience/10 October/1015.full.pdf	PS/PS-19-10-1015.pdf	Reproducibility Papers/PS/PS-19-10-1015.pdf	Ryan K Jessup, Anthony J Bishara, Jerome R Busemeyer	NA	PS-19-10-1015
306	Counteracting loneliness: On the restorative function of nostalgia.	X Zhou, C Sedikides, T Wildschut, DG Gao	10.1111/j.1467-9280.2008.02194.x	PS	19	10	1023-9		Adaptation, Psychological, Adolescent, Affect, Child, Female, Humans, Individuality, Interpersonal Relations, Life Change Events, Loneliness [psychology], Male, Mental Recall, Motivation, Personality Inventory, Resilience, Psychological, Social Perception, Social Support	2008.PsycScience/10 October/1023.full.pdf	PS/PS-19-10-1023.pdf	Reproducibility Papers/PS/PS-19-10-1023.pdf	Xinyue Zhou, Constantine Sedikides, Tim Wildschut, Ding-Guo Gao	NA	PS-19-10-1023
307	Which thoughts count? algorithms for evaluating satisfaction in relationships.	SL Gable, J Poore	10.1111/j.1467-9280.2008.02195.x	PS	19	10	1030-6		Adolescent, Adult, Affect, Algorithms, Anxiety [psychology], Computers, Handheld, Courtship, Female, Goals, Humans, Interpersonal Relations, Male, Motivation, Object Attachment, Personal Satisfaction, Thinking, Young Adult	2008.PsycScience/10 October/1030.full.pdf	PS/PS-19-10-1030.pdf	Reproducibility Papers/PS/PS-19-10-1030.pdf	Shelly L Gable, Joshua Poore	NA	PS-19-10-1030
308	Is it important to prevent early exposure to drugs and alcohol among adolescents?	CL Odgers, A Caspi, DS Nagin, AR Piquero, WS Slutske, BJ Milne, N Dickson, R Poulton, TE Moffitt	10.1111/j.1467-9280.2008.02196.x	PS	19	10	1037-44		Adolescent, Adult, Alcohol Drinking [epidemiology], Alcoholism [epidemiology], Causality, Child, Cohort Studies, Comorbidity, Conduct Disorder [epidemiology], Crime [prevention & control], Female, Follow-Up Studies, Health Promotion, Herpes Genitalis [epidemiology], Humans, Male, New Zealand, Pregnancy, Pregnancy in Adolescence [prevention & control], Prospective Studies, Risk, Street Drugs, Substance-Related Disorders [epidemiology], Young Adult	2008.PsycScience/10 October/1037.full.pdf	PS/PS-19-10-1037.pdf	Reproducibility Papers/PS/PS-19-10-1037.pdf	Candice L Odgers, Avshalom Caspi, Daniel S Nagin, Alex R Piquero, Wendy S Slutske, Barry J Milne, Nigel Dickson, Richie Poulton, Terrie E Moffitt	NA	PS-19-10-1037
309	Perceptual-load-induced selection as a result of local competitive interactions in visual cortex.	A Torralbo, DM Beck	10.1111/j.1467-9280.2008.02197.x	PS	19	10	1045-50		Attention [physiology], Humans, Neurons [physiology], Orientation [physiology], Pattern Recognition, Visual [physiology], Reaction Time [physiology], Visual Cortex [physiology], Visual Fields [physiology]	2008.PsycScience/10 October/1045.full.pdf	PS/PS-19-10-1045.pdf	Reproducibility Papers/PS/PS-19-10-1045.pdf	Ana Torralbo, Diane M Beck	NA	PS-19-10-1045
310	On feelings as a heuristic for making offers in ultimatum negotiations.	AT Stephen, MT Pham	10.1111/j.1467-9280.2008.02198.x	PS	19	10	1051-8		Attention, Concept Formation, Culture, Decision Making, Emotions, Games, Experimental, Humans, Intuition, Motivation, Negotiating, Probability Learning, Uncertainty	2008.PsycScience/10 October/1051.full.pdf	PS/PS-19-10-1051.pdf	Reproducibility Papers/PS/PS-19-10-1051.pdf	Andrew T Stephen, Michel Tuan Pham	NA	PS-19-10-1051
311	Unconscious applicants: A systematic test of the name-letter effect.	F Anseel, W Duyck	10.1111/j.1467-9280.2008.02199.x	PS	19	10	1059-61		Association, Belgium, Career Choice, Employment, Humans, Names, Probability, Recognition (Psychology), Regression Analysis, Unconscious (Psychology)	2008.PsycScience/10 October/1059.full.pdf	PS/PS-19-10-1059.pdf	Reproducibility Papers/PS/PS-19-10-1059.pdf	Frederik Anseel, Wouter Duyck	NA	PS-19-10-1059
312	Gene-environment interactions in depression research: Genetic polymorphisms and life-stress polyprocedures.	SM Monroe, MW Reid	10.1111/j.1467-9280.2008.02181.x	PS	19	10	947-56		Alleles, Depressive Disorder, Major [genetics], Genetic Predisposition to Disease [genetics], Humans, Life Change Events, Polymorphism, Genetic [genetics], Risk Factors, Serotonin Plasma Membrane Transport Proteins [genetics]	2008.PsycScience/10 October/947.full.pdf	PS/PS-19-10-947.pdf	Reproducibility Papers/PS/PS-19-10-947.pdf	Scott M Monroe, Mark W Reid	NA	PS-19-10-947
313	Ability differences among people who have commensurate degrees matter for scientific creativity.	G Park, D Lubinski, CP Benbow	10.1111/j.1467-9280.2008.02182.x	PS	19	10	957-61		Achievement, Adolescent, Adult, Aptitude, Career Choice, Creativeness, Education, Graduate [statistics & numerical data], Humans, Individuality, Longitudinal Studies, Mathematics, Patents as Topic [statistics & numerical data], Publishing [statistics & numerical data], Research, Science, Universities, Young Adult	2008.PsycScience/10 October/957.full.pdf	PS/PS-19-10-957.pdf	Reproducibility Papers/PS/PS-19-10-957.pdf	Gregory Park, David Lubinski, Camilla P Benbow	NA	PS-19-10-957
314	The devil you know: Neuroticism predicts neural response to uncertainty.	JB Hirsh, M Inzlicht	10.1111/j.1467-9280.2008.02183.x	PS	19	10	962-7		Adolescent, Brain Mapping, Cerebral Cortex [physiopathology], Contingent Negative Variation, Dominance, Cerebral [physiology], Electroencephalography, Evoked Potentials [physiology], Feedback, Psychological, Female, Humans, Individuality, Male, Neurotic Disorders [physiopathology], Psychomotor Performance [physiology], Signal Processing, Computer-Assisted, Synaptic Transmission [physiology], Time Perception [physiology], Uncertainty, Young Adult	2008.PsycScience/10 October/962.full.pdf	PS/PS-19-10-962.pdf	Reproducibility Papers/PS/PS-19-10-962.pdf	Jacob B Hirsh, Michael Inzlicht	NA	PS-19-10-962
315	Preschoolers' responses to social comparisons involving relative failure.	M Rhodes, D Brickman	10.1111/j.1467-9280.2008.02184.x	PS	19	10	968-72		Achievement, Affect, Child, Preschool, Female, Gender Identity, Humans, Individuality, Male, Motivation, Peer Group, Reaction Time, Reinforcement (Psychology), Self Concept, Social Identification, Stereotyping	2008.PsycScience/10 October/968.full.pdf	PS/PS-19-10-968.pdf	Reproducibility Papers/PS/PS-19-10-968.pdf	Marjorie Rhodes, Daniel Brickman	NA	PS-19-10-968
316	Black + white = black: Hypodescent in reflexive categorization of racially ambiguous faces.	D Peery, GV Bodenhausen	10.1111/j.1467-9280.2008.02185.x	PS	19	10	973-7		African Continental Ancestry Group [psychology], Cultural Diversity, Decision Making, European Continental Ancestry Group [psychology], Face, Female, Humans, Judgment, Male, Pattern Recognition, Visual, Reaction Time, Social Identification, Stereotyping, Students [psychology]	2008.PsycScience/10 October/973.full.pdf	PS/PS-19-10-973.pdf	Reproducibility Papers/PS/PS-19-10-973.pdf	Destiny Peery, Galen V Bodenhausen	NA	PS-19-10-973
317	Ethnic out-group faces are biased in the prejudiced mind.	R Dotsch, DH Wigboldus, O Langner, A van Knippenberg	10.1111/j.1467-9280.2008.02186.x	PS	19	10	978-80		Asian Continental Ancestry Group [psychology], Association Learning, Culture, Decision Making, Emigrants and Immigrants [psychology], Ethnic Groups [psychology], Face, Humans, Judgment, Morocco [ethnology], Names, Netherlands, Pattern Recognition, Visual, Perceptual Masking, Personality, Prejudice, Social Desirability, Stereotyping	2008.PsycScience/10 October/978.full.pdf	PS/PS-19-10-978.pdf	Reproducibility Papers/PS/PS-19-10-978.pdf	Ron Dotsch, Daniël H J Wigboldus, Oliver Langner, Ad van Knippenberg	NA	PS-19-10-978
318	Adaptive responses to social exclusion: Social rejection improves detection of real and fake smiles.	MJ Bernstein, SG Young, CM Brown, DF Sacco, HM Claypool	10.1111/j.1467-9280.2008.02187.x	PS	19	10	981-3		Adaptation, Psychological, Affect, Cues, Deception, Discrimination Learning, Facial Expression, Female, Humans, Male, Motivation, Rejection (Psychology), Smiling, Social Identification, Students [psychology], Video Recording	2008.PsycScience/10 October/981.full.pdf	PS/PS-19-10-981.pdf	Reproducibility Papers/PS/PS-19-10-981.pdf	Michael J Bernstein, Steven G Young, Christina M Brown, Donald F Sacco, Heather M Claypool	NA	PS-19-10-981
319	The role of facial mimicry in the recognition of affect.	M Stel, A van Knippenberg	10.1111/j.1467-9280.2008.02188.x	PS	19	10	984-5		Adolescent, Adult, Affect, Cues, Decision Making, Empathy, Facial Expression, Female, Humans, Imitative Behavior, Male, Mental Recall, Pattern Recognition, Visual, Reaction Time, Sex Factors, Young Adult	2008.PsycScience/10 October/984.full.pdf	PS/PS-19-10-984.pdf	Reproducibility Papers/PS/PS-19-10-984.pdf	Mariëlle Stel, Ad van Knippenberg	NA	PS-19-10-984
320	If it's hard to read, it's hard to do: Processing fluency affects effort prediction and motivation.	H Song, N Schwarz	10.1111/j.1467-9280.2008.02189.x	PS	19	10	986-8		Adolescent, Aptitude, Attention, Culture, Female, Humans, Intention, Judgment, Male, Motivation, Pattern Recognition, Visual, Physical Exertion, Reading, Time Perception, Young Adult	2008.PsycScience/10 October/986.full.pdf	PS/PS-19-10-986.pdf	Reproducibility Papers/PS/PS-19-10-986.pdf	Hyunjin Song, Norbert Schwarz	NA	PS-19-10-986
321	Multisensory integration: Central processing modifies peripheral systems.	JE Lugo, R Doti, W Wittich, J Faubert	10.1111/j.1467-9280.2008.02190.x	PS	19	10	989-97		Acoustic Stimulation, Adult, Attention [physiology], Auditory Perception [physiology], Cerebral Cortex [physiology], Conditioning (Psychology) [physiology], Electromyography, Female, Humans, Leg [innervation], Male, Middle Aged, Neural Analyzers [physiology], Peripheral Nerves [physiology], Photic Stimulation, Sensory Thresholds [physiology], Touch [physiology], Visual Perception [physiology]	2008.PsycScience/10 October/989.full.pdf	PS/PS-19-10-989.pdf	Reproducibility Papers/PS/PS-19-10-989.pdf	J E Lugo, R Doti, Walter Wittich, Jocelyn Faubert	NA	PS-19-10-989
322	Two fixations suffice in face recognition.	JH Hsiao, G Cottrell	10.1111/j.1467-9280.2008.02191.x	PS	19	10	998-1006		Discrimination Learning, Electrooculography, Face, Female, Fixation, Ocular, Humans, Male, Orientation, Pattern Recognition, Visual, Reaction Time, Recognition (Psychology), Saccades, Signal Processing, Computer-Assisted, Young Adult	2008.PsycScience/10 October/998.full.pdf	PS/PS-19-10-998.pdf	Reproducibility Papers/PS/PS-19-10-998.pdf	Janet Hui-wen Hsiao, Garrison Cottrell	NA	PS-19-10-998
323	Mental rotation in human infants: A sex difference.	DS Moore, SP Johnson	10.1111/j.1467-9280.2008.02200.x	PS	19	11	1063-6		Female, Humans, Infant, Male, Mental Processes, Rotation, Sex Factors, Videotape Recording	2008.PsycScience/11 November/1063.full.pdf	PS/PS-19-11-1063.pdf	Reproducibility Papers/PS/PS-19-11-1063.pdf	David S Moore, Scott P Johnson	NA	PS-19-11-1063
324	A sex difference in mental rotation in young infants.	PC Quinn, LS Liben	10.1111/j.1467-9280.2008.02201.x	PS	19	11	1067-70		Attention, Female, Humans, Infant, Male, Mental Processes, Rotation, Sex Factors	2008.PsycScience/11 November/1067.full.pdf	PS/PS-19-11-1067.pdf	Reproducibility Papers/PS/PS-19-11-1067.pdf	Paul C Quinn, Lynn S Liben	NA	PS-19-11-1067
325	What's so special about working memory? an examination of the relationships among working memory, secondary memory, and fluid intelligence.	JA Mogle, BJ Lovett, RS Stawski, MJ Sliwinski	10.1111/j.1467-9280.2008.02202.x	PS	19	11	1071-7		Adolescent, Adult, Attention, Cognition, Female, Humans, Intelligence, Male, Memory, Memory, Short-Term, Neuropsychological Tests, Reaction Time, Young Adult	2008.PsycScience/11 November/1071.full.pdf	PS/PS-19-11-1071.pdf	Reproducibility Papers/PS/PS-19-11-1071.pdf	Jacqueline A Mogle, Benjamin J Lovett, Robert S Stawski, Martin J Sliwinski	NA	PS-19-11-1071
